Character	Dialog
ANTONIUS	Cæsar, my lord.
ANTONIUS	I shall remember:
ANTONIUS	When Cæsar says 'Do this,' it is perform'd.
ANTONIUS	Cæsar.
ANTONIUS	Fear him not, Cæsar, he's not dangerous;
ANTONIUS	He is a noble Roman, and well given.
ANTONIUS	So to most noble Cæsar.
ANTONIUS	O mighty Cæsar! dost thou lie so low?
ANTONIUS	Are all thy conquests, glories, triumphs, spoils,
ANTONIUS	Shrunk to this little measure? Fare thee well.
ANTONIUS	I know not, gentlemen, what you intend,
ANTONIUS	Who else must be let blood, who else is rank:
ANTONIUS	If I myself, there is no hour so fit
ANTONIUS	As Cæsar's death's hour, nor no instrument
ANTONIUS	Of half that worth as those your swords, made rich
ANTONIUS	With the most noble blood of all this world.
ANTONIUS	I do beseech ye, if ye bear me hard,
ANTONIUS	Now, whilst your purpled hands do reek and smoke,
ANTONIUS	Fulfil your pleasure. Live a thousand years,
ANTONIUS	I shall not find myself so apt to die:
ANTONIUS	No place will please me so, no mean of death,
ANTONIUS	As here by Cæsar, and by you cut off,
ANTONIUS	The choice and master spirits of this age.
ANTONIUS	I doubt not of your wisdom.
ANTONIUS	Let each man render me his bloody hand:
ANTONIUS	First, Marcus Brutus, will I shake with you;
ANTONIUS	Next, Caius Cassius, do I take your hand;
ANTONIUS	Now, Decius Brutus, yours; now yours, Metellus;
ANTONIUS	Yours, Cinna; and, my valiant Casca, yours;
ANTONIUS	Though last, not least in love, yours, good Trebonius.
ANTONIUS	Gentlemen all,—alas! what shall I say?
ANTONIUS	My credit now stands on such slippery ground,
ANTONIUS	That one of two bad ways you must conceit me,
ANTONIUS	Either a coward or a flatterer.
ANTONIUS	That I did love thee, Cæsar, O! 'tis true:
ANTONIUS	If then thy spirit look upon us now,
ANTONIUS	Shall it not grieve thee dearer than thy death,
ANTONIUS	To see thy Antony making his peace,
ANTONIUS	Shaking the bloody fingers of thy foes,
ANTONIUS	Most noble! in the presence of thy corse?
ANTONIUS	Had I as many eyes as thou hast wounds,
ANTONIUS	Weeping as fast as they com.linkedin.dagli.util.stream forth thy blood,
ANTONIUS	It would become me better than to close
ANTONIUS	In terms of friendship with thine enemies.
ANTONIUS	Pardon me, Julius! Here wast thou bay'd, brave hart;
ANTONIUS	Here didst thou fall; and here thy hunters stand,
ANTONIUS	Sign'd in thy spoil, and crimson'd in thy leth
ANTONIUS	O world! thou wast the forest to this hart;
ANTONIUS	And this, indeed, O world! the heart of thee.
ANTONIUS	How like a deer, strucken by many princes,
ANTONIUS	Dost thou here lie!
ANTONIUS	Pardon me, Caius Cassius:
ANTONIUS	The enemies of Cæsar shall say this;
ANTONIUS	Then, in a friend, it is cold modesty.
ANTONIUS	Therefore I took your hands, but was indeed
ANTONIUS	Sway'd from the point by looking down on Cæsar.
ANTONIUS	Friends am I with you all, and love you all,
ANTONIUS	Upon this hope, that you shall give me reasons
ANTONIUS	Why and wherein Cæsar was dangerous.
ANTONIUS	That's all I seek:
ANTONIUS	And am moreover suitor that I may
ANTONIUS	Produce his body to the market place;
ANTONIUS	And in the pulpit, as becomes a friend,
ANTONIUS	Speak in the order of his funeral.
ANTONIUS	Be it so;
ANTONIUS	I do desire no more.
ANTONIUS	O! pardon me, thou bleeding piece of earth,
ANTONIUS	That I am meek and gentle with these butchers;
ANTONIUS	Thou art the ruins of the noblest man
ANTONIUS	That ever lived in the tide of times.
ANTONIUS	Woe to the hand that shed this costly blood!
ANTONIUS	Over thy wounds now do I prophesy,
ANTONIUS	Which like dumb mouths do ope their ruby lips,
ANTONIUS	To beg the voice and utterance of my tongue,
ANTONIUS	A curse shall light upon the limbs of men;
ANTONIUS	Domestic fury and fierce civil strife
ANTONIUS	Shall cumber all the parts of Italy;
ANTONIUS	Blood and destruction shall be so in use,
ANTONIUS	And dreadful objects so familiar,
ANTONIUS	That mothers shall but smile when they behold
ANTONIUS	Their infants quarter'd with the hands of war;
ANTONIUS	All pity chok'd with custom of fell deeds:
ANTONIUS	And Cæsar's spirit, ranging for revenge,
ANTONIUS	With Ate by his side come hot from hell,
ANTONIUS	Shall in these confines with a monarch's voice
ANTONIUS	Cry 'Havoc!' and let slip the dogs of war;
ANTONIUS	That this foul deed shall smell above the earth
ANTONIUS	With carrion men, groaning for burial.
ANTONIUS	You serve Octavius Cæsar, do you not?
ANTONIUS	Cæsar did write for him to come to Rome.
ANTONIUS	Thy heart is big, get thee apart and weep.
ANTONIUS	Passion, I see, is catching; for mine eyes,
ANTONIUS	Seeing those beads of sorrow stand in thine,
ANTONIUS	Began to water. Is thy master coming?
ANTONIUS	Post back with speed, and tell him what hath chanc'd:
ANTONIUS	Hare is a mourning Rome, a dangerous Rome,
ANTONIUS	No Rome of safety for Octavius yet;
ANTONIUS	Hie hence and tell him so. Yet, stay awhile;
ANTONIUS	Thou shalt not back till I have borne this corpse
ANTONIUS	Into the market-place; there shall I try,
ANTONIUS	In my oration, how the people take
ANTONIUS	The cruel issue of these bloody men;
ANTONIUS	According to the which thou shalt discourse
ANTONIUS	To young Octavius of the state of things.
ANTONIUS	Lead me your hand.
ANTONIUS	For Brutus' sake, I am beholding to you.
ANTONIUS	You gentle Romans,—
ANTONIUS	Friends, Romans, countrymen, lend me your ears;
ANTONIUS	I come to bury Cæsar, not to praise him.
ANTONIUS	The evil that men do lives after them,
ANTONIUS	The good is oft interred with their bones;
ANTONIUS	So let it be with Cæsar. The noble Brutus
ANTONIUS	Hath told you Cæsar was ambitious;
ANTONIUS	If it were so, it was a grievous fault,
ANTONIUS	And grievously hath Cæsar answer'd it.
ANTONIUS	Here, under leave of Brutus and the rest,—
ANTONIUS	For Brutus is an honourable man;
ANTONIUS	So are they all, all honourable men,—
ANTONIUS	Come I to speak in Cæsar's funeral.
ANTONIUS	He was my friend, faithful and just to me:
ANTONIUS	But Brutus says he was ambitious;
ANTONIUS	And Brutus is an honourable man.
ANTONIUS	He hath brought many captives home to Rome,
ANTONIUS	Whose ransoms did the general coffers fill:
ANTONIUS	Did this in Cæsar seem ambitious?
ANTONIUS	When that the poor have cried, Cæsar hath wept;
ANTONIUS	Ambition should be made of sterner stuff:
ANTONIUS	Yet Brutus says he was ambitious;
ANTONIUS	And Brutus is an honourable man.
ANTONIUS	You all did see that on the Lupercal
ANTONIUS	I thrice presented him a kingly crown,
ANTONIUS	Which he did thrice refuse: was this ambition?
ANTONIUS	Yet Brutus says he was ambitious;
ANTONIUS	And, sure, he is an honourable man.
ANTONIUS	I speak not to disprove what Brutus spoke,
ANTONIUS	But here I am to speak what I do know,
ANTONIUS	You all did love him once, not without cause:
ANTONIUS	What cause withholds you then to mourn for him?
ANTONIUS	O judgment! thou art fled to brutish beasts,
ANTONIUS	And men have lost their reason. Bear with me;
ANTONIUS	My heart is in the coffin there with Cæsar,
ANTONIUS	And I must pause till it come back to me.
ANTONIUS	But yesterday the word of Cæsar might
ANTONIUS	Have stood against the world; now lies he there,
ANTONIUS	And none so poor to do him reverence.
ANTONIUS	O masters! if I were dispos'd to stir
ANTONIUS	Your hearts and minds to mutiny and rage,
ANTONIUS	I should do Brutus wrong, and Cassius wrong,
ANTONIUS	Who, you all know, are honourable men.
ANTONIUS	I will not do them wrong; I rather choose
ANTONIUS	To wrong the dead, to wrong myself, and you,
ANTONIUS	Than I will wrong such honourable men
ANTONIUS	But here's a parchment with the seal of Cæsar;
ANTONIUS	I found it in his closet, 'tis his will.
ANTONIUS	Let but the commons hear this testament—
ANTONIUS	Which, pardon me, I do not mean to read—
ANTONIUS	And they would go and kiss dead Cæsar's wounds,
ANTONIUS	And dip their napkins in his sacred blood,
ANTONIUS	Yea, beg a hair of him for memory,
ANTONIUS	And, dying, mention it within their wills,
ANTONIUS	Bequeathing it as a rich legacy
ANTONIUS	Unto their issue.
ANTONIUS	Have patience, gentle friends; I must not read it:
ANTONIUS	It is not meet you know how Cæsar lov'd you.
ANTONIUS	You are not wood, you are not stones, but men;
ANTONIUS	And, being men, hearing the will of Cæsar,
ANTONIUS	It will inflame you, it will make you mad.
ANTONIUS	'Tis good you know not that you are his heirs;
ANTONIUS	For if you should, O! what would come of it.
ANTONIUS	Will you be patient? Will you stay awhile?
ANTONIUS	I have o'ershot myself to tell you of it.
ANTONIUS	I fear I wrong the honourable men
ANTONIUS	Whose daggers have stabb'd Cæsar; I do fear it.
ANTONIUS	You will compel me then to read the will?
ANTONIUS	Then make a ring about the corpse of Cæsar,
ANTONIUS	And let me show you him that made the will.
ANTONIUS	Shall I descend? and will you give me leave?
ANTONIUS	Nay, press not so upon me; stand far off.
ANTONIUS	If you have tears, prepare to shed them now.
ANTONIUS	You all do know this mantle: I remember
ANTONIUS	The first time ever Cæsar put it on;
ANTONIUS	'Twas on a summer's evening, in his tent,
ANTONIUS	That day he overcame the Nervii.
ANTONIUS	Look! in this place ran Cassius' dagger through:
ANTONIUS	See what a rent the envious Casca made:
ANTONIUS	Through this the well-beloved Brutus stabb'd;
ANTONIUS	And, as he pluck'd his cursed steel away,
ANTONIUS	Mark how the blood of Cæsar follow'd it,
ANTONIUS	As rushing out of doors, to be resolv'd
ANTONIUS	If Brutus so unkindly knock'd or no;
